Year,Rounded,Prop,Site
2023,51,0,TNC_16
2023,59,0.564971751,TNC_16
2023,11,2.259887006,TNC_19
2023,12,3.389830508,TNC_19
2023,13,7.344632768,TNC_19
2023,14,12.42937853,TNC_19
2023,15,9.039548023,TNC_19
2023,16,2.824858757,TNC_19
2023,17,3.95480226,TNC_19
2023,18,3.389830508,TNC_19
2023,19,1.129943503,TNC_19
2023,20,1.129943503,TNC_19
2023,21,0.564971751,TNC_19
2023,22,0,TNC_19
2023,23,1.694915254,TNC_19
2023,24,0,TNC_19
2023,25,0,TNC_19
2023,26,0,TNC_19
2023,27,0.564971751,TNC_19
2023,28,0,TNC_19
2023,29,0,TNC_19
2023,31,0,TNC_19
2023,32,0,TNC_19
2023,33,0,TNC_19
2023,34,0,TNC_19
2023,37,0,TNC_19
2023,39,0,TNC_19
2023,40,0,TNC_19
2023,41,0.564971751,TNC_19
2023,45,0,TNC_19
2023,48,0,TNC_19
2023,51,0,TNC_19
2023,59,0,TNC_19
